depth_m,age_ka,d18O,dD
32.89,0.577,-51.06,
33,0.58,-51.01,
33.11,0.582,-51.92,
33.22,0.585,-50.42,
33.33,0.587,-48.68,
33.44,0.59,-48.17,
33.55,0.592,-49.11,
33.66,0.595,-47.86,
33.77,0.598,-50.56,
33.88,0.6,-51.41,
33.99,0.603,-50.95,
34.1,0.605,-51.62,
34.21,0.608,-52.27,
34.32,0.61,-52.59,
34.43,0.613,-52.13,
34.54,0.616,-50.23,
34.65,0.618,-49.68,
34.76,0.621,-49.3,
34.87,0.623,-49.35,
34.98,0.626,-49.33,
35.09,0.628,-49.12,
35.2,0.631,-50.02,
35.31,0.633,-50.52,
35.42,0.636,-49.41,
35.53,0.638,-48.96,
35.64,0.641,-50.22,
35.75,0.643,-50.77,
35.86,0.646,-51.08,
35.97,0.648,-50.56,
36.08,0.651,-49.66,
36.19,0.653,-50.02,
36.3,0.656,-51.17,
36.41,0.659,-51.05,
36.52,0.661,-50.74,
36.63,0.664,-50.56,
36.74,0.667,-51.05,
36.85,0.669,-51.86,
36.96,0.672,-51.18,
37.07,0.675,-50.05,
37.18,0.678,-50.57,
37.29,0.68,-51.42,
37.4,0.683,-50.96,
37.51,0.686,-52.22,
37.62,0.689,-51.89,
37.73,0.691,-50.22,
37.84,0.694,-49.47,
37.95,0.697,-49.38,
38.06,0.7,-50.72,
38.17,0.703,-51.25,
38.28,0.705,-50.43,
38.39,0.708,-50.85,
38.5,0.711,-50.69,
38.61,0.714,-50.76,
38.72,0.717,-51.95,
38.83,0.72,-52,
38.94,0.723,-51.14,
39.05,0.726,-51.3,
39.16,0.729,-51.28,
39.27,0.732,-51.55,
39.38,0.734,-51.96,
39.49,0.737,-52.15,
39.6,0.74,-52.26,
39.71,0.743,-51.19,
39.82,0.746,-51.47,
39.93,0.749,-51.54,
40.04,0.752,-51.45,
40.15,0.755,-50.91,
40.26,0.758,-50.31,
40.37,0.761,-49.65,
40.48,0.764,-50.17,
40.59,0.767,-51.16,
40.7,0.769,-51.4,
40.81,0.772,-50.77,
40.92,0.775,-51.37,
41.03,0.778,-52,
