depth_m,age_ka,d18O,dD
965.36,61.693,-55.75,
965.47,61.703,-54.43,
965.58,61.712,-54.62,
965.69,61.722,-54.28,
965.8,61.732,-54.9,
965.91,61.741,-54.98,
966.02,61.751,-53.71,
966.13,61.76,-54.22,
966.24,61.77,-54.96,
966.35,61.78,-54.09,
966.46,61.789,-55.4,
966.57,61.799,-54.23,
966.68,61.808,-54.1,
966.79,61.818,-55.01,
966.9,61.828,-55.27,
967.01,61.838,-55.29,
967.12,61.848,-55.21,
967.23,61.857,-54.3,
967.34,61.867,-55.02,
967.45,61.877,-55.2,
967.56,61.887,-54.12,
967.67,61.897,-54.07,
967.78,61.907,-54.53,
967.89,61.917,-54.57,
968,61.927,-54.29,
968.11,61.937,-54.13,
968.22,61.947,-53.8,
968.33,61.957,-54.66,
968.44,61.967,-53.54,
968.55,61.977,-54.29,
968.66,61.987,-54.96,
968.77,61.997,-55.22,
968.88,62.007,-55.01,
968.99,62.017,-53.6,
969.1,62.027,-54.78,
969.21,62.036,-56.31,
969.32,62.046,-55.18,
969.43,62.056,-54.85,
969.54,62.066,-54.77,
969.65,62.076,-54.27,
969.76,62.086,-54.14,
969.87,62.096,-53.92,
969.98,62.105,-54.12,
970.09,62.115,-54.89,
970.2,62.125,-53.02,
970.31,62.135,-53.68,
970.42,62.145,-55.65,
970.53,62.155,-54.9,
970.64,62.164,-54.71,
970.75,62.174,-54.54,
970.86,62.184,-54.71,
970.97,62.194,-54.52,
971.08,62.203,-54.46,
971.19,62.213,-53.78,
971.3,62.223,-54.68,
971.41,62.233,-55.04,
971.52,62.242,-54.84,
971.63,62.252,-53.97,
971.74,62.262,-55.24,
971.85,62.272,-55.07,
971.96,62.282,-54.63,
972.07,62.292,-55.35,
972.18,62.302,-54.2,
972.29,62.312,-54.41,
972.4,62.322,-55.31,
972.51,62.332,-55.04,
972.62,62.342,-54.66,
972.73,62.352,-54.39,
972.84,62.362,-54.91,
972.95,62.372,-55.03,
973.06,62.382,-53.4,
973.17,62.392,-54.47,
973.28,62.402,-55.02,
973.39,62.412,-55.42,
973.5,62.422,-54.73,
973.61,62.432,-55.79,
973.72,62.443,-56.08,
973.83,62.453,-55.9,
973.94,62.464,-55.58,
974.05,62.474,-54.51,
974.16,62.484,-54.63,
974.27,62.495,-55.57,
974.38,62.505,-55.47,
974.49,62.515,-54.51,
974.6,62.526,-54.75,
974.71,62.536,-54.05,
974.82,62.546,-52.65,
974.93,62.557,-54.07,
975.04,62.567,-55.33,
975.15,62.577,-56.21,
975.26,62.588,-55.84,
975.37,62.598,-55.15,
975.48,62.608,-54.68,
975.59,62.618,-54.7,
975.7,62.629,-54.17,
975.81,62.639,-55.34,
975.92,62.649,-55.18,
976.03,62.659,-55.14,
976.14,62.669,-54.98,
976.25,62.68,-55.27,
976.36,62.69,-54.75,
976.47,62.7,-55.45,
976.58,62.71,-55.52,
976.69,62.72,-54.14,
976.8,62.731,-55.33,
976.91,62.741,-54.72,
977.02,62.751,-55.08,
977.13,62.762,-54.86,
977.24,62.772,-55.37,
977.35,62.782,-54.78,
977.46,62.793,-53.96,
977.57,62.803,-55.5,
977.68,62.813,-55.54,
977.79,62.823,-55.54,
977.9,62.834,-54.72,
978.01,62.844,-55.27,
978.12,62.854,-55.47,
978.23,62.865,-55.34,
978.34,62.875,-55.03,
978.45,62.885,-54.84,
978.56,62.896,-55.79,
978.67,62.907,-55.99,
978.78,62.918,-55.63,
978.89,62.929,-55.14,
979,62.94,-55.05,
979.11,62.951,-55.13,
979.22,62.962,-55.4,
979.33,62.973,-55.81,
979.44,62.983,-55.36,
979.55,62.994,-55.92,
979.66,63.005,-56.29,
979.77,63.016,-56.12,
979.88,63.027,-56.06,
979.99,63.038,-55.6,
980.1,63.049,-56.22,
980.21,63.06,-55.68,
980.32,63.071,-54.89,
980.43,63.083,-54.96,
980.54,63.094,-54.5,
980.65,63.105,-55.63,
980.76,63.116,-56.23,
980.87,63.127,-54.77,
980.98,63.138,-53.72,
981.09,63.15,-55.42,
981.2,63.161,-55.74,
981.31,63.172,-54.87,
981.42,63.183,-55.74,
981.53,63.194,-55.67,
981.64,63.206,-55.27,
981.75,63.217,-55.06,
981.86,63.228,-55.49,
981.97,63.239,-54.65,
982.08,63.25,-55.38,
982.19,63.261,-55.31,
982.3,63.272,-55.47,
982.41,63.284,-54.54,
982.52,63.295,-55.38,
982.63,63.306,-55.77,
982.74,63.317,-56.3,
982.85,63.328,-56.16,
982.96,63.339,-55.83,
983.07,63.35,-55.89,
983.18,63.361,-56.28,
983.29,63.373,-55.56,
983.4,63.384,-56.05,
983.51,63.395,-56.07,
983.62,63.406,-55.38,
983.73,63.417,-55.26,
983.84,63.428,-56.07,
983.95,63.439,-55.44,
984.06,63.45,-54.28,
984.17,63.462,-55.17,
984.28,63.473,-54.62,
984.39,63.484,-53.92,
984.5,63.495,-55.74,
984.61,63.506,-56.84,
984.72,63.517,-56.26,
984.83,63.528,-55.3,
984.94,63.539,-54.98,
985.05,63.55,-56.17,
985.16,63.562,-56.41,
985.27,63.574,-56.03,
985.38,63.586,-55.81,
985.49,63.598,-56.31,
985.6,63.609,-55.23,
985.71,63.621,-55.01,
985.82,63.633,-56.72,
985.93,63.645,-56.59,
986.04,63.656,-55.35,
986.15,63.668,-55.91,
986.26,63.68,-55.43,
986.37,63.692,-55.47,
986.48,63.704,-56.16,
986.59,63.715,-55.31,
986.7,63.727,-56.54,
986.81,63.739,-56.38,
986.92,63.75,-56.26,
987.03,63.762,-55.61,
987.14,63.774,-55.34,
987.25,63.785,-54.01,
987.36,63.797,-55.37,
987.47,63.809,-56.27,
987.58,63.82,-57.35,
987.69,63.832,-56.32,
987.8,63.844,-56.36,
987.91,63.855,-56.82,
988.02,63.867,-56.54,
988.13,63.879,-56.74,
988.24,63.89,-56.73,
988.35,63.902,-55.58,
988.46,63.914,-56.4,
988.57,63.926,-56.44,
988.68,63.938,-55.81,
988.79,63.95,-55.62,
988.9,63.962,-54.75,
989.01,63.974,-55.34,
989.12,63.986,-55.29,
989.23,63.998,-55.84,
989.34,64.01,-56.22,
989.45,64.022,-55.81,
989.56,64.034,-56.62,
989.67,64.046,-56.71,
989.78,64.058,-57.12,
989.89,64.07,-56.93,
990,64.082,-57.92,
990.11,64.095,-56.62,
990.22,64.108,-56.38,
990.33,64.121,-55.7,
990.44,64.133,-57.1,
990.55,64.146,-56.35,
990.66,64.159,-55.78,
990.77,64.172,-56.43,
990.88,64.185,-57.09,
990.99,64.198,-56.03,
991.1,64.21,-56.4,
991.21,64.223,-56.2,
991.32,64.236,-56.37,
991.43,64.249,-56.85,
991.54,64.262,-55.93,
991.65,64.274,-56.34,
991.76,64.287,-56.74,
991.87,64.299,-55.7,
991.98,64.312,-56.29,
992.09,64.324,-56.17,
992.2,64.337,-55.25,
992.31,64.349,-56.84,
992.42,64.362,-57.14,
992.53,64.374,-56.03,
992.64,64.387,-56.41,
992.75,64.399,-55.92,
992.86,64.411,-56.54,
992.97,64.424,-56.32,
993.08,64.436,-55.9,
993.19,64.449,-56.22,
993.3,64.461,-55.72,
993.41,64.473,-55.36,
993.52,64.485,-56.24,
993.63,64.497,-56.9,
993.74,64.509,-56.09,
993.85,64.521,-55.27,
993.96,64.533,-55.67,
994.07,64.545,-55.79,
994.18,64.557,-56.14,
994.29,64.569,-55.52,
994.4,64.581,-55.87,
994.51,64.593,-54.56,
994.62,64.605,-54.35,
994.73,64.617,-55.06,
994.84,64.629,-53.99,
994.95,64.641,-54.45,
995.06,64.651,-53.9,
995.17,64.662,-53.92,
995.28,64.673,-55.12,
995.39,64.683,-54.47,
995.5,64.694,-54.44,
995.61,64.704,-55.48,
995.72,64.715,-56.21,
995.83,64.726,-56.54,
995.94,64.736,-55.51,
996.05,64.747,-54.56,
996.16,64.758,-52.66,
996.27,64.768,-54.38,
996.38,64.779,-54.02,
996.49,64.789,-54.15,
996.6,64.8,-55.94,
996.71,64.811,-56.22,
996.82,64.822,-56.27,
996.93,64.834,-56.36,
997.04,64.845,-55.75,
997.15,64.856,-54.95,
997.26,64.867,-56.74,
997.37,64.878,-56.44,
997.48,64.89,-54.73,
997.59,64.901,-54.68,
997.7,64.912,-53.8,
997.81,64.923,-54.68,
997.92,64.935,-55.13,
998.03,64.946,-55.25,
998.14,64.957,-55.59,
998.25,64.968,-56.1,
998.36,64.979,-53.37,
998.47,64.99,-54.44,
998.58,65.001,-54.87,
998.69,65.012,-55.4,
998.8,65.023,-55.51,
998.91,65.034,-55.71,
999.02,65.045,-55.07,
999.13,65.056,-54.77,
999.24,65.067,-54.93,
999.35,65.078,-54.89,
999.46,65.089,-55.34,
999.57,65.1,-56.18,
999.68,65.111,-55.83,
999.79,65.122,-55.69,
999.9,65.133,-55.81,
1000.01,65.145,-56.02,
1000.12,65.157,-56.43,
1000.23,65.169,-57.06,
1000.34,65.182,-56.22,
1000.45,65.194,-55.47,
1000.56,65.206,-55.63,
1000.67,65.219,-55.5,
1000.78,65.231,-56.18,
1000.89,65.243,-55.59,
1001,65.255,-55.51,
1001.11,65.268,-54.88,
1001.22,65.28,-55.4,
1001.33,65.292,-56.49,
1001.44,65.305,-56.48,
1001.55,65.317,-56.39,
1001.66,65.329,-55.94,
1001.77,65.342,-55.8,
1001.88,65.355,-56.76,
1001.99,65.367,-57.06,
1002.1,65.38,-56.33,
1002.21,65.393,-56.13,
1002.32,65.405,-55.16,
1002.43,65.418,-55.9,
1002.54,65.431,-56.8,
1002.65,65.444,-55.21,
1002.76,65.456,-55.53,
1002.87,65.469,-55.01,
1002.98,65.482,-55.01,
1003.09,65.494,-55.64,
1003.2,65.507,-56.19,
1003.31,65.52,-56.25,
1003.42,65.532,-55.94,
1003.53,65.545,-56.25,
1003.64,65.557,-56.49,
1003.75,65.57,-55.19,
1003.86,65.583,-55.93,
1003.97,65.595,-55.96,
1004.08,65.608,-57.21,
1004.19,65.62,-55.91,
1004.3,65.633,-56.62,
1004.41,65.646,-55.95,
1004.52,65.658,-54.85,
1004.63,65.671,-55.66,
1004.74,65.684,-55.62,
1004.85,65.696,-54.16,
1004.96,65.709,-57.11,
1005.07,65.722,-57.35,
1005.18,65.734,-56.23,
1005.29,65.747,-54.93,
1005.4,65.76,-55.8,
1005.51,65.773,-55.91,
1005.62,65.786,-56.36,
1005.73,65.798,-54.56,
1005.84,65.811,-54.97,
1005.95,65.824,-52.81,
1006.06,65.837,-55.56,
1006.17,65.849,-56.03,
1006.28,65.862,-57.32,
1006.39,65.875,-56.81,
1006.5,65.888,-56.17,
1006.61,65.901,-56.69,
1006.72,65.914,-55.21,
1006.83,65.927,-56.16,
1006.94,65.94,-56.78,
1007.05,65.953,-55.33,
1007.16,65.966,-55.44,
1007.27,65.979,-56.63,
1007.38,65.993,-56.03,
1007.49,66.006,-55.41,
1007.6,66.019,-56.48,
1007.71,66.032,-54.32,
1007.82,66.045,-55.85,
1007.93,66.058,-56.72,
1008.04,66.072,-58.01,
1008.15,66.085,-55.92,
1008.26,66.097,-55.38,
1008.37,66.109,-54.92,
1008.48,66.122,-55.28,
1008.59,66.134,-54.98,
1008.7,66.147,-55.41,
1008.81,66.159,-55.68,
1008.92,66.171,-55.58,
1009.03,66.184,-53.67,
1009.14,66.196,-55.68,
1009.25,66.208,-55.77,
1009.36,66.221,-56.9,
1009.47,66.233,-56.7,
1009.58,66.245,-56.13,
1009.69,66.258,-56.97,
1009.8,66.27,-56.91,
1009.91,66.283,-56.54,
1010.02,66.296,-55.52,
1010.13,66.309,-55.24,
1010.24,66.323,-55.7,
1010.35,66.336,-55.32,
1010.46,66.349,-55.55,
1010.57,66.362,-56.04,
1010.68,66.375,-56.09,
1010.79,66.388,-56.53,
1010.9,66.402,-56.08,
1011.01,66.415,-56.37,
1011.12,66.428,-55.64,
1011.23,66.441,-55.57,
1011.34,66.454,-56.46,
1011.45,66.467,-55.28,
1011.56,66.481,-55.98,
1011.67,66.494,-55.89,
1011.78,66.507,-56.7,
1011.89,66.521,-56.77,
1012,66.534,-55.91,
1012.11,66.548,-56.44,
1012.22,66.561,-56.88,
1012.33,66.574,-57.29,
1012.44,66.588,-56.21,
1012.55,66.601,-55.74,
1012.66,66.614,-57.02,
1012.77,66.628,-56.8,
1012.88,66.641,-56.19,
1012.99,66.655,-54.85,
1013.1,66.668,-55.21,
1013.21,66.681,-56.62,
1013.32,66.695,-56.31,
1013.43,66.708,-55.61,
1013.54,66.721,-57,
1013.65,66.734,-56.94,
1013.76,66.748,-55.8,
1013.87,66.761,-54.19,
1013.98,66.774,-55.35,
1014.09,66.788,-56.61,
1014.2,66.801,-56.86,
1014.31,66.814,-54.93,
1014.42,66.828,-55.52,
1014.53,66.841,-56.56,
1014.64,66.854,-56.99,
1014.75,66.867,-56.54,
1014.86,66.881,-55.53,
1014.97,66.895,-55.87,
1015.08,66.908,-56.99,
1015.19,66.922,-56.91,
1015.3,66.935,-57.17,
1015.41,66.949,-58.27,
1015.52,66.962,-56.08,
1015.63,66.976,-56.59,
1015.74,66.99,-56.01,
1015.85,67.003,-56.09,
1015.96,67.017,-56.04,
1016.07,67.03,-56.67,
1016.18,67.044,-56.42,
1016.29,67.057,-55.89,
1016.4,67.071,-55.78,
1016.51,67.085,-56.43,
1016.62,67.098,-56.46,
1016.73,67.112,-56.79,
1016.84,67.125,-56.48,
1016.95,67.139,-55.96,
1017.06,67.152,-56.56,
1017.17,67.166,-56.5,
1017.28,67.18,-57.03,
1017.39,67.193,-57.07,
1017.5,67.207,-53.59,
1017.61,67.22,-56.7,
1017.72,67.234,-57.06,
1017.83,67.247,-57.62,
1017.94,67.261,-56.1,
1018.05,67.275,-55.4,
1018.16,67.288,-56.23,
1018.27,67.302,-56.08,
1018.38,67.316,-55.56,
1018.49,67.33,-56.99,
1018.6,67.344,-56.55,
1018.71,67.357,-56.56,
1018.82,67.371,-56.9,
1018.93,67.385,-57.14,
1019.04,67.399,-56.59,
1019.15,67.412,-56.15,
1019.26,67.426,-55.86,
1019.37,67.44,-56.39,
1019.48,67.454,-56.1,
1019.59,67.468,-56.2,
1019.7,67.481,-56.55,
1019.81,67.495,-57.01,
1019.92,67.508,-56.33,
1020.03,67.521,-55.3,
1020.14,67.534,-56.25,
1020.25,67.547,-56.27,
1020.36,67.56,-55.47,
1020.47,67.573,-56.3,
1020.58,67.587,-57.26,
1020.69,67.6,-55.91,
1020.8,67.613,-55.3,
1020.91,67.626,-56.08,
1021.02,67.639,-56.4,
1021.13,67.652,-56.59,
1021.24,67.665,-56.4,
1021.35,67.679,-56.47,
1021.46,67.691,-57.24,
1021.57,67.704,-55.74,
1021.68,67.717,-55.2,
1021.79,67.729,-54.67,
1021.9,67.742,-54.83,
1022.01,67.755,-56.13,
1022.12,67.768,-57.55,
1022.23,67.78,-57.19,
1022.34,67.793,-57.22,
1022.45,67.806,-56.4,
1022.56,67.818,-55.75,
1022.67,67.831,-55.93,
1022.78,67.844,-56.37,
1022.89,67.857,-56.74,
1023,67.869,-55.14,
1023.11,67.882,-55.49,
1023.22,67.895,-55.58,
1023.33,67.907,-56.66,
1023.44,67.92,-56.79,
1023.55,67.933,-54.96,
1023.66,67.946,-56.1,
1023.77,67.958,-56.58,
1023.88,67.971,-55.95,
1023.99,67.984,-56.18,
1024.1,67.997,-56.75,
1024.21,68.009,-56.7,
1024.32,68.022,-56.73,
1024.43,68.035,-56.33,
1024.54,68.047,-56.47,
1024.65,68.06,-56.46,
1024.76,68.073,-55.67,
1024.87,68.086,-55.26,
1024.98,68.098,-56.65,
1025.09,68.111,-56.57,
1025.2,68.124,-55.28,
1025.31,68.137,-55.27,
1025.42,68.15,-55.9,
1025.53,68.162,-55.6,
1025.64,68.175,-57.36,
1025.75,68.188,-56.83,
1025.86,68.201,-56.91,
1025.97,68.213,-56.36,
1026.08,68.226,-56.68,
1026.19,68.239,-56.56,
1026.3,68.252,-56.44,
1026.41,68.265,-55.81,
1026.52,68.278,-55.58,
1026.63,68.291,-57.11,
1026.74,68.304,-56.09,
1026.85,68.317,-55.92,
1026.96,68.33,-56.97,
1027.07,68.343,-56.34,
1027.18,68.356,-56.5,
1027.29,68.369,-56.69,
1027.4,68.383,-56.38,
1027.51,68.396,-56.34,
1027.62,68.409,-55.52,
1027.73,68.422,-56.29,
1027.84,68.435,-57.37,
1027.95,68.448,-56.44,
1028.06,68.461,-55.65,
1028.17,68.474,-56.84,
1028.28,68.487,-56.99,
1028.39,68.5,-56.28,
1028.5,68.513,-57.28,
1028.61,68.526,-57.74,
1028.72,68.539,-56.82,
1028.83,68.552,-55.05,
1028.94,68.565,-54.2,
1029.05,68.578,-56.52,
1029.16,68.591,-55.78,
1029.27,68.604,-55.83,
1029.38,68.617,-56.22,
1029.49,68.63,-57.07,
1029.6,68.643,-56.02,
1029.71,68.656,-56.31,
1029.82,68.668,-56.03,
1029.93,68.681,-56.77,
1030.04,68.694,-57.14,
1030.15,68.707,-56.9,
1030.26,68.719,-55.64,
1030.37,68.732,-55.15,
1030.48,68.745,-56.3,
1030.59,68.757,-56.87,
1030.7,68.77,-56.25,
1030.81,68.783,-56.32,
1030.92,68.796,-54.68,
1031.03,68.808,-54.59,
1031.14,68.821,-54.81,
1031.25,68.834,-55.56,
1031.36,68.846,-55.88,
1031.47,68.858,-56.31,
1031.58,68.871,-57.38,
1031.69,68.883,-56.44,
1031.8,68.896,-56.59,
1031.91,68.908,-57.02,
1032.02,68.92,-56.32,
1032.13,68.933,-55.94,
1032.24,68.945,-57.04,
1032.35,68.958,-56.21,
1032.46,68.97,-55.98,
1032.57,68.982,-57.77,
1032.68,68.995,-56.82,
1032.79,69.007,-56.96,
1032.9,69.02,-55.08,
1033.01,69.032,-55.48,
1033.12,69.044,-54.65,
1033.23,69.056,-54.58,
1033.34,69.068,-55.49,
1033.45,69.08,-55.38,
1033.56,69.092,-55.65,
1033.67,69.104,-56.73,
1033.78,69.116,-56.68,
1033.89,69.128,-56.57,
1034,69.14,-56.58,
1034.11,69.152,-55.65,
1034.22,69.164,-56.68,
1034.33,69.176,-56.68,
1034.44,69.188,-56.29,
1034.55,69.2,-55.55,
1034.66,69.212,-53.88,
1034.77,69.224,-54.28,
1034.88,69.237,-57.11,
1034.99,69.249,-57.11,
1035.1,69.261,-57.18,
1035.21,69.273,-56.19,
1035.32,69.286,-56.7,
1035.43,69.298,-57.47,
1035.54,69.31,-56.1,
1035.65,69.323,-56.25,
1035.76,69.335,-56.86,
1035.87,69.347,-56.61,
1035.98,69.359,-56.66,
1036.09,69.372,-56.68,
1036.2,69.384,-56.53,
1036.31,69.397,-57,
1036.42,69.41,-57.26,
1036.53,69.424,-56.94,
1036.64,69.437,-56.4,
1036.75,69.45,-56.24,
1036.86,69.463,-56.64,
1036.97,69.477,-56.47,
1037.08,69.49,-55.92,
1037.19,69.503,-57.5,
1037.3,69.516,-56.41,
1037.41,69.53,-55.72,
1037.52,69.543,-55.29,
1037.63,69.556,-53.59,
1037.74,69.569,-55.96,
1037.85,69.583,-56.34,
1037.96,69.594,-55.62,
1038.07,69.605,-56.24,
1038.18,69.617,-55.96,
1038.29,69.628,-55.44,
1038.4,69.64,-54.65,
1038.51,69.651,-54.47,
1038.62,69.662,-55.43,
1038.73,69.674,-54.62,
1038.84,69.685,-54.84,
1038.95,69.697,-57.29,
1039.06,69.708,-54.86,
1039.17,69.719,-54.53,
1039.28,69.731,-55.12,
1039.39,69.742,-55.89,
1039.5,69.754,-55.21,
1039.61,69.765,-54.66,
1039.72,69.776,-55.06,
1039.83,69.788,-55.44,
1039.94,69.799,-56.26,
1040.05,69.811,-56.54,
1040.16,69.822,-55.76,
1040.27,69.833,-54.92,
1040.38,69.845,-54.12,
1040.49,69.856,-56.01,
1040.6,69.868,-55.35,
1040.71,69.879,-55.83,
1040.82,69.89,-55.79,
1040.93,69.902,-55.86,
1041.04,69.913,-56.29,
1041.15,69.925,-56.16,
1041.26,69.937,-55.61,
1041.37,69.949,-55.6,
1041.48,69.961,-56.04,
1041.59,69.974,-55.63,
1041.7,69.986,-54.92,
1041.81,69.998,-56.45,
1041.92,70.01,-56.3,
1042.03,70.023,-56.69,
1042.14,70.035,-56.44,
1042.25,70.047,-56.91,
1042.36,70.059,-56.56,
1042.47,70.071,-56.3,
1042.58,70.084,-55.63,
1042.69,70.096,-56.13,
1042.8,70.108,-56.42,
1042.91,70.121,-56.96,
1043.02,70.134,-56.34,
1043.13,70.147,-56.52,
1043.24,70.159,-56,
1043.35,70.172,-56.32,
1043.46,70.185,-56.33,
1043.57,70.198,-55.87,
1043.68,70.211,-56.33,
1043.79,70.223,-57.67,
1043.9,70.236,-57.81,
1044.01,70.249,-56.68,
1044.12,70.262,-56.11,
1044.23,70.275,-55.17,
1044.34,70.288,-56.25,
1044.45,70.3,-56.53,
1044.56,70.313,-56.65,
1044.67,70.326,-56.5,
1044.78,70.339,-57.19,
1044.89,70.352,-56.89,
1045,70.364,-57.33,
1045.11,70.377,-56.55,
1045.22,70.39,-55.64,
1045.33,70.403,-56.19,
1045.44,70.415,-55.97,
1045.55,70.428,-56.3,
1045.66,70.441,-57.5,
1045.77,70.454,-56.56,
1045.88,70.466,-56.48,
1045.99,70.479,-55.81,
1046.1,70.492,-55.95,
1046.21,70.505,-57.07,
1046.32,70.517,-56.75,
1046.43,70.53,-55.59,
1046.54,70.542,-55.89,
1046.65,70.555,-56.28,
1046.76,70.567,-56.24,
1046.87,70.579,-56.93,
1046.98,70.592,-56.64,
1047.09,70.604,-56.35,
1047.2,70.617,-56.34,
1047.31,70.629,-55.33,
1047.42,70.642,-54.68,
1047.53,70.654,-55,
1047.64,70.667,-55.29,
1047.75,70.679,-55.97,
1047.86,70.691,-55.75,
1047.97,70.703,-56.02,
1048.08,70.714,-57.29,
1048.19,70.726,-56.21,
1048.3,70.737,-56.94,
1048.41,70.749,-56.86,
1048.52,70.761,-56.93,
1048.63,70.772,-56.54,
1048.74,70.784,-55.71,
1048.85,70.795,-55.72,
1048.96,70.807,-56.88,
1049.07,70.819,-57.07,
1049.18,70.83,-55.8,
1049.29,70.842,-54.58,
1049.4,70.853,-55.34,
1049.51,70.864,-55.53,
1049.62,70.875,-55.05,
1049.73,70.886,-53.3,
1049.84,70.897,-56.14,
1049.95,70.908,-55.07,
1050.06,70.919,-56.49,
1050.17,70.93,-55.49,
1050.28,70.941,-54.45,
1050.39,70.952,-54.74,
1050.5,70.963,-55.89,
1050.61,70.974,-55.56,
1050.72,70.985,-55.47,
1050.83,70.996,-54.36,
1050.94,71.007,-55.3,
1051.05,71.018,-55.11,
1051.16,71.029,-55.67,
1051.27,71.041,-56.02,
1051.38,71.052,-54.93,
1051.49,71.063,-55.5,
1051.6,71.074,-55.61,
1051.71,71.085,-54.84,
1051.82,71.096,-55.26,
1051.93,71.108,-56.51,
1052.04,71.119,-56.44,
1052.15,71.13,-56.64,
1052.26,71.141,-54.12,
1052.37,71.152,-54.95,
1052.48,71.163,-56.17,
1052.59,71.175,-55.49,
1052.7,71.186,-55.24,
1052.81,71.197,-55.59,
1052.92,71.208,-54.49,
1053.03,71.219,-54.87,
1053.14,71.23,-56.16,
1053.25,71.241,-55.45,
1053.36,71.252,-55.8,
1053.47,71.263,-56.08,
1053.58,71.274,-54.47,
1053.69,71.285,-54.06,
1053.8,71.296,-55.31,
1053.91,71.307,-55.74,
1054.02,71.318,-56.07,
1054.13,71.329,-56.92,
1054.24,71.34,-54.94,
1054.35,71.351,-53.69,
1054.46,71.362,-54.15,
1054.57,71.372,-54.96,
1054.68,71.383,-55.7,
1054.79,71.393,-55.14,
1054.9,71.404,-54.63,
1055.01,71.414,-54.88,
1055.12,71.425,-53.83,
1055.23,71.435,-54.03,
1055.34,71.446,-54.82,
1055.45,71.457,-55.67,
1055.56,71.467,-55.44,
1055.67,71.478,-54.57,
1055.78,71.488,-56.95,
1055.89,71.499,-55.72,
1056,71.509,-54.69,
1056.11,71.52,-54.73,
1056.22,71.53,-53.97,
1056.33,71.541,-54.46,
1056.44,71.551,-55.12,
1056.55,71.561,-53.88,
1056.66,71.572,-54.11,
1056.77,71.582,-54.72,
1056.88,71.593,-55.15,
1056.99,71.603,-54.86,
1057.1,71.613,-54.95,
1057.21,71.624,-55.1,
1057.32,71.634,-54.82,
1057.43,71.645,-54.89,
1057.54,71.655,-54.89,
1057.65,71.665,-54.07,
1057.76,71.675,-54.78,
1057.87,71.685,-54.78,
1057.98,71.695,-53.76,
1058.09,71.705,-54.58,
1058.2,71.714,-53.6,
1058.31,71.724,-52.78,
1058.42,71.734,-52.28,
1058.53,71.744,-54.23,
1058.64,71.753,-55.07,
1058.75,71.763,-54.06,
1058.86,71.773,-54.37,
1058.97,71.783,-54.28,
1059.08,71.792,-53.96,
1059.19,71.802,-53.86,
1059.3,71.812,-54.97,
1059.41,71.821,-53.68,
1059.52,71.831,-54.82,
1059.63,71.84,-53.71,
1059.74,71.85,-54.06,
1059.85,71.859,-53.76,
1059.96,71.869,-53.75,
1060.07,71.878,-50.48,
1060.18,71.888,-54.2,
1060.29,71.897,-53.32,
1060.4,71.907,-53.82,
1060.51,71.916,-50.99,
1060.62,71.926,-54.37,
1060.73,71.935,-54.7,
1060.84,71.945,-52.36,
1060.95,71.954,-52.82,
1061.06,71.963,-53.87,
1061.17,71.973,-53.74,
1061.28,71.982,-53.1,
1061.39,71.991,-54.59,
1061.5,72,-54.54,
1061.61,72.009,-53.92,
1061.72,72.019,-54.61,
1061.83,72.028,-53.84,
1061.94,72.037,-53.3,
1062.05,72.046,-52.63,
1062.16,72.055,-53.12,
1062.27,72.065,-53.73,
1062.38,72.074,-54.7,
1062.49,72.083,-51.76,
1062.6,72.092,-54.09,
1062.71,72.102,-53.95,
1062.82,72.112,-53.96,
1062.93,72.122,-54.03,
1063.04,72.133,-52.42,
1063.15,72.143,-54.21,
1063.26,72.153,-55.8,
1063.37,72.163,-56.09,
1063.48,72.173,-55.18,
1063.59,72.183,-54.63,
1063.7,72.193,-55.18,
1063.81,72.203,-54.92,
1063.92,72.213,-54.87,
1064.03,72.223,-56.01,
1064.14,72.233,-55.39,
1064.25,72.243,-53.9,
1064.36,72.254,-53.63,
1064.47,72.264,-52.76,
1064.58,72.274,-52.51,
1064.69,72.284,-53.88,
1064.8,72.295,-54.56,
1064.91,72.305,-54.8,
1065.02,72.315,-54.82,
1065.13,72.326,-55.42,
1065.24,72.336,-55.02,
1065.35,72.346,-54.09,
1065.46,72.357,-54.76,
1065.57,72.367,-52.85,
1065.68,72.377,-54.4,
1065.79,72.387,-55.45,
1065.9,72.398,-55.39,
1066.01,72.408,-53.45,
1066.12,72.418,-54.11,
1066.23,72.428,-55.22,
1066.34,72.438,-54.55,
1066.45,72.448,-53.31,
1066.56,72.458,-53.83,
1066.67,72.468,-53.6,
1066.78,72.478,-53.44,
1066.89,72.488,-54.55,
1067,72.498,-54.54,
1067.11,72.508,-54.86,
1067.22,72.518,-54.22,
1067.33,72.528,-52.36,
1067.44,72.538,-53.91,
1067.55,72.548,-54.95,
1067.66,72.559,-55.23,
1067.77,72.569,-55.08,
1067.88,72.58,-54.29,
1067.99,72.59,-55.07,
1068.1,72.601,-53.87,
1068.21,72.611,-54.15,
1068.32,72.622,-53.81,
1068.43,72.632,-55.22,
1068.54,72.643,-56.66,
1068.65,72.653,-54.95,
1068.76,72.664,-54.88,
1068.87,72.674,-54.77,
1068.98,72.685,-54.22,
1069.09,72.695,-54.82,
1069.2,72.706,-54.56,
1069.31,72.716,-54.23,
1069.42,72.726,-55.02,
1069.53,72.737,-55.08,
1069.64,72.747,-54.27,
1069.75,72.757,-54.91,
1069.86,72.767,-55.21,
1069.97,72.778,-54.12,
1070.08,72.788,-53.87,
1070.19,72.798,-53.33,
1070.3,72.809,-53.37,
