depth,temperature
0.007999999999981355,-7.122155254447255
0.2629999999999768,-7.962265191523831
0.5169999999999959,-10.167588968181294
0.7709999999999866,-12.483227278300348
1.0249999999999773,-14.568290908294225
1.2789999999999964,-16.672350286413284
1.5339999999999918,-18.76672446361388
1.7879999999999825,-20.953196575711974
2.0420000000000016,-22.870556742582977
2.2959999999999923,-24.501323246693502
2.549999999999983,-25.86805113730085
2.8049999999999784,-27.043108473766832
3.0589999999999975,-28.047336157480753
3.312999999999988,-28.899899238726523
3.566999999999979,-29.643833709831906
3.820999999999998,-30.299106891870736
4.075999999999993,-30.860945976809983
4.329999999999984,-31.368821510657117
4.583999999999975,-31.77672517371919
4.837999999999994,-32.11805567168587
5.0919999999999845,-32.4091425085362
5.34699999999998,-32.662796754125175
5.600999999999999,-32.85626594473643
5.85499999999999,-33.00076314472488
6.1089999999999804,-33.114284590835204
6.3629999999999995,-33.2045007470193
6.617999999999995,-33.24677512519761
6.871999999999986,-33.2675557075493
7.125999999999976,-33.2698253056672
7.3799999999999955,-33.26189669329385
7.633999999999986,-33.24614548923715
7.888999999999982,-33.21433552937387
8.143,-33.17864917013342
8.396999999999991,-33.141872147125355
8.650999999999982,-33.093768884288
8.905000000000001,-33.025422793105385
9.159999999999997,-32.96783164559483
9.413999999999987,-32.89903897175687
9.667999999999978,-32.826417850709596
9.921999999999997,-32.743196103710176
10.175999999999988,-32.68068345648702
10.430999999999983,-32.610374300094776
10.685000000000002,-32.53659348180395
10.938999999999993,-32.4566110733249
11.192999999999984,-32.37140712352585
11.447000000000003,-32.302075085346075
11.701999999999998,-32.23758535578128
11.955999999999989,-32.180664992325426
12.20999999999998,-32.10778761572325
12.463999999999999,-32.043829350513256
12.71799999999999,-31.98314614937192
12.972999999999985,-31.91771463662136
13.226999999999975,-31.86364893948405
13.480999999999995,-31.795102721837356
13.734999999999985,-31.731566669967858
13.988999999999976,-31.685988740926515
14.242999999999995,-31.64298573010768
14.49799999999999,-31.593562271777103
14.751999999999981,-31.54211572725108
15.006,-31.515968284940147
15.259999999999991,-31.473897791472382
15.513999999999982,-31.44499585195995
15.768999999999977,-31.412025028777737
16.022999999999996,-31.3807855280565
16.276999999999987,-31.363218355317674
16.530999999999977,-31.32145991790066
16.784999999999997,-31.299035776114472
17.039999999999992,-31.297424507124745
17.293999999999983,-31.26420781420548
17.548000000000002,-31.247669595607174
17.801999999999992,-31.225697660761128
18.055999999999983,-31.221703547684175
18.31099999999998,-31.20930847703134
18.564999999999998,-31.200236607912476
18.81899999999999,-31.186431368089774
19.07299999999998,-31.162060145706626
19.326999999999998,-31.14370030614071
19.581999999999994,-31.142872886183966
19.835999999999984,-31.12296978652649
20.089999999999975,-31.125862548139246
20.343999999999994,-31.12582358868393
20.597999999999985,-31.121951418703183
20.85299999999998,-31.116357626973873
21.107,-31.113620345697402
21.36099999999999,-31.10087604254945
21.61499999999998,-31.09141680047872
21.869,-31.082416143384116
22.123999999999995,-31.08418691918971
22.377999999999986,-31.06630642131293
22.631999999999977,-31.076376650138332
22.885999999999996,-31.067600416763852
23.139999999999986,-31.05169779737559
23.394999999999982,-31.045942694304753
23.649,-31.052985069921235
23.90299999999999,-31.04754351825775
24.156999999999982,-31.03865082439423
24.411,-31.02925197479279
24.665999999999997,-31.015755950932476
24.919999999999987,-31.003995023455825
25.173999999999978,-31.01342516963735
25.427999999999997,-31.02261398061205
25.681999999999988,-31.008702333042567
25.936999999999983,-30.998945797661943
26.191000000000003,-30.988002600347833
26.444999999999993,-30.97889777942885
26.698999999999984,-30.998347439061895
26.952999999999975,-30.985622080473554
27.208,-30.968957763492423
27.46199999999999,-30.95139603243638
27.71599999999998,-30.954949353496616
27.97,-30.951621473104765
28.22399999999999,-30.943828903428837
28.478999999999985,-30.936307279039436
28.732999999999976,-30.953713844242582
28.986999999999995,-30.950718090938274
29.240999999999985,-30.923407409098715
29.494999999999976,-30.93360135007672
29.75,-30.916484717792038
30.00399999999999,-30.907385138994716
30.25799999999998,-30.895344996918706
30.512,-30.90742052951614
30.76599999999999,-30.890075798527114
31.020999999999987,-30.873212900846948
31.274999999999977,-30.872081675453938
31.528999999999996,-30.88175156139661
31.782999999999987,-30.873862089379866
32.03699999999998,-30.85720747352699
32.292,-30.86161711104521
32.54599999999999,-30.8452558492972
32.79999999999998,-30.83893040578545
33.054,-30.836958522388073
33.30799999999999,-30.842705960746912
33.56299999999999,-30.829297715098175
33.81699999999998,-30.820820473518943
34.071,-30.811675735584146
34.32499999999999,-30.801325324393968
34.57899999999998,-30.82382275602349
34.833999999999975,-30.816644004192025
35.087999999999994,-30.79691993479648
35.341999999999985,-30.79919201028562
35.595999999999975,-30.798105963345797
35.849999999999994,-30.780070689942963
36.10499999999999,-30.7797100072849
36.35899999999998,-30.7637551699732
36.613,-30.766259874421714
36.86699999999999,-30.766191101640644
37.12099999999998,-30.762734142276923
37.375999999999976,-30.757874030616506
37.629999999999995,-30.757358948436067
37.883999999999986,-30.740179491451673
38.13799999999998,-30.73582667600415
38.391999999999996,-30.732824903434278
38.64699999999999,-30.722968583405684
38.90099999999998,-30.715137187411766
39.155,-30.719448762960358
39.40899999999999,-30.709306386847793
39.66299999999998,-30.703243704499872
39.91799999999998,-30.699205717845377
40.172,-30.704459050591645
40.42599999999999,-30.688245961565105
40.67999999999998,-30.681772055466713
40.934,-30.68459277925226
41.18899999999999,-30.684721128511818
41.442999999999984,-30.665067089990075
41.697,-30.660127446685163
41.95099999999999,-30.655294480753106
42.204999999999984,-30.6542198808275
